,UUID4,Reference,Book,Chapter,Paragraph,Text
10,ce8d348d-8600-4730-97d4-f2cd41a9d730,urn:cts:greekLit:tlg0099.tlg001:1.1.11,1,1,11,"What we have already advanced is sufficient to prove that poet the father of geography. Those who followed in his track are also well known as great men and true philosophers. The two immediately succeeding Homer, according to Eratosthenes, were Anaximander, the disciple and fellow citizen of Thales, and Hecataeus the Milesian. Anaximander was the first to publish a geographical chart. Hecataeus left a work [on the same subject], which we can identify as his by means of his other writings. "
11,95f67f3b-bff5-46d5-9049-46f79e187230,urn:cts:greekLit:tlg0099.tlg001:1.1.12,1,1,12,"Many have testified to the amount of knowledge which this subject requires, and Hipparchus, in his Strictures on Eratosthenes, well observes, ""that no one can become really proficient in geography, either as a private individual or as a professor, without an acquaintance with astronomy, and a knowledge of eclipses. For instance, no one could tell whether Alexandria in Egypt were north or south of Babylon, nor yet the intervening distance, without observing the latitudes. Again, the only means we possess of becoming acquainted with the longitudes of different places is afforded by the eclipses of the sun and moon."" Such are the very words of Hipparchus. "
12,b88b6423-6ff2-44a6-a856-b73205f84450,urn:cts:greekLit:tlg0099.tlg001:1.1.13,1,1,13,"Every one who undertakes to give an accurate description of a place, should be particular to add its astronomical and geometrical relations, explaining carefully its extent, distance, degrees of latitude, and ""climate."" Even a builder before constructing a house, or an architect before laying out a city, would take these things into consideration; much more should he who examines the whole earth: for such things in a peculiar manner belong to him. In small distances a little deviation north or south does not signify, but when it is the whole circle of the earth, the north extends to the furthest confines of Scythia, or Keltica, and the south to the extremities of Ethiopia: there is a wide difference here. The case is the same should we inhabit India or Spain, one in the east, the other far west, and, as we are aware, the antipodes to each other. "
13,160c096b-1916-4630-aac7-96ae35ca04a0,urn:cts:greekLit:tlg0099.tlg001:1.1.14,1,1,14,"The [motions] of the sun and stars, and the centripetal force meet us on the very threshold of such subjects, and compel us to the study of astronomy, and the observation of such phenomena as each of us may notice; in which too, very considerable differences appear, according to the various points of observation. How could any one undertake to write accurately and with propriety on the differences of the various parts of the earth, who was ignorant of these matters? and although, if the undertaking were of a popular character, it might not be advisable to enter thoroughly into detail, still we should endeavour to include every thing which could be comprehended by the general reader. "
14,cd4ceb52-8739-4f48-b271-b35cb9b2ddeb,urn:cts:greekLit:tlg0099.tlg001:1.1.15,1,1,15,"He who has thus elevated his mind, will he be satisfied with any thing less than the whole world? If in his anxiety accurately to portray the inhabited earth, he has dared to survey heaven, and make use thereof for purposes of instruction, would it not seem childish were he to refrain from examining the whole earth, of which the inhabited is but a part, its size, its features, and its position in the universe; whether other portions are inhabited besides those on which we dwell, and if so, their amount? What is the extent of the regions not peopled? what their peculiarities, and the cause of their remaining as they are? Thus it appears that the knowledge of geography is connected with meteorology and geometry, that it unites the things of earth to the things of heaven, as though they were nearly allied, and not separated. "" As far as heaven from earth."" Iliad viii. 16 "
15,a2b7f3b0-5f0a-4263-9817-d3f9725a6e45,urn:cts:greekLit:tlg0099.tlg001:1.1.16,1,1,16,"To the various subjects which it embraces let us add natural history, or the history of the animals, plants, and other different productions of the earth and sea, whether serviceable or useless, and my original statement will, I think, carry perfect conviction with it. That he who should undertake this work would be a benefactor to mankind, reason and the voice of antiquity agree. The poets feign that they were the wisest heroes who travelled and wandered most in foreign climes: and to be familiar with many countries, and the disposition of the inhabitants, is, according to them, of vast importance. Nestor prides himself on having associated with the Lapithae, to whom he went, ""having been invited thither from the Apian land afar."" So does Menelaus: — "" Cyprus, Phoenicia, Sidon, and the shores Of Egypt, roaming without hope I reach'd; In distant Ethiopia thence arrived, And Libya, where the lambs their foreheads show With budding horns defended soon as yean'd."" [Od. iv. 83.] Adding as a peculiarity of the country, ""There thrice within the year the flocks produce."" [Od. iv. 86.] And of Egypt: — ""Where the sustaining earth is most prolific."" And Thebes, ""the city with an hundred gates, Whence twenty thousand chariots rush to war."" Iliad ix. 383 Such information greatly enlarges our sphere of knowledge, by informing us of the nature of the country, its botanical and zoological peculiarities. To these should be added its marine history; for we are in a certain sense amphibious, not exclusively connected with the land, but with the sea as well. Hercules, on account of his vast experience and observation, was described as ""skilled in mighty works."" All that we have previously stated is confirmed both by the testimony of antiquity and by reason. One consideration however appears to bear in a peculiar manner on the case in point; viz. the importance of geography in a political view. For the sea and the earth in which we dwell furnish theatres for action; limited, for limited actions; vast, for grander deeds; but that which contains them all, and is the scene of the greatest undertakings, constitutes what we term the habitable earth; and they are the greatest generals who, subduing nations and kingdoms under one sceptre, and one political administration, have acquired dominion over land and sea. It is clear then, that geography is essential to all the transactions of the statesman, informing us, as it does, of the position of the continents, seas, and oceans of the whole habitable earth. Information of especial interest to those who are concerned to know the exact truth of such particulars, and whether the places have been explored or not: for government will certainly be better administered where the size and position of the country, its own peculiarities, and those of the surrounding districts, are understood. Forasmuch as there are many sovereigns who rule in different regions, and some stretch their dominion over others' territories, and undertake the government of different nations and kingdoms, and thus enlarge the extent of their dominion, it is not possible that either themselves, nor yet writers on geography, should be equally acquainted with the whole, but to both there is a great deal more or less known. Indeed, were the whole earth under one government and one administration, it is hardly possible that we should be informed of every locality in an equal degree; for even then we should be most acquainted with the places nearest us: and after all, it is better that we should have a more perfect description of these, since, on account of their proximity, there is greater reed for it. We see there is no reason to be surprised that there should be one chorographer for the Indians, another for the Ethiopians, and a third for the Greeks and Romans. What use would it be to the Indians if a geographer should thus describe Boeotia to them, in the words of Homer: — "" The dwellers on the rocks Of Aulis follow'd, with the hardy clans Of Hyria, Schoenus, Scolus."" Iliad ii. 496. To us this is of value, while to be acquainted with the Indies and their various territorial divisions would be useless, as it could lead to no advantage, which is the only criterion of the worth of such knowledge. "
16,d4ad8fc0-57b0-4955-8c7b-72163ac2d5d8,urn:cts:greekLit:tlg0099.tlg001:1.1.17,1,1,17,"Even if we descend to the consideration of such trivial matters as hunting, the case is still the same; for he will be most successful in the chase who is acquainted with the size and nature of the wood, and one familiar with the locality will be the most competent to superintend an encampment, an ambush, or a march. But it is in great undertakings that the truth shines out in all its brilliancy, for here, while the success resulting from knowledge is grand, the consequences of ignorance are disastrous. The fleet of Agamemnon, for instance, ravaging Mysia, as if it had been the Trojan territory, was compelled to a shameful retreat. Likewise the Persians and Libyans, supposing certain straits to be impassable, were very near falling into great perils, and have left behind them memorials of their ignorance; the former a monument to Salganeus on the Euripus, near Chalcis, whom the Persians slew, for, as they thought, falsely conducting their fleet from the Gulf of Malea to the Euripus; and the latter to the memory of Pelorus, who was executed on a like occasion. At the time of the expedition of Xerxes, the coasts of Greece were covered with wrecks, and the emigrations from Aeolia and Ionia furnish numerous instances of the same calamity. On the other hand, matters have come to a prosperous termination, when judiciously directed by a knowledge of the locality. Thus it was at the pass of Thermopylae that Ephialtes is reported to have pointed out to the Persians a pathway over the mountains, and so placed the band of Leonidas at their mercy, and opened to the Barbarians a passage into Pylae. But passing over ancient occurrences, we think that the late expeditions of the Romans against the Parthians furnish an excellent example, where, as in those against the Germans and Kelts, the Barbarians, taking advantage of their situation, [carried on the war] in marshes, woods, and pathless deserts, deceiving the ignorant enemy as to the position of different places, and concealing the roads, and the means of obtaining food and necessaries. "
17,c1a0fd93-be8a-40c7-8877-26313ec589fc,urn:cts:greekLit:tlg0099.tlg001:1.1.18,1,1,18,"As we have said, this science has an especial reference to the occupations and requirements of statesmen, with whom also political and ethical philosophy is mainly concerned; and here is an evidence. We distinguish the different kinds of civil government by the office of their chief men, denominating one government a monarchy, or kingdom, another an aristocracy, a third a democracy; for so many we consider are the forms of government, and we designate them by these names, because from them they derive their primary characteristic. For the laws which emanate from the sovereign, from the aristocracy, and from the people all are different. The law is in fact a type of the form of government. It is on this account that some define right to be the interest of the strongest. If, therefore, political philosophy is advantageous to the ruler, and geography in the actual government of the country, this latter seems to possess some little superiority. This superiority is most observable in real service. "
18,40923e82-227b-496c-8a74-3d2979c56042,urn:cts:greekLit:tlg0099.tlg001:1.1.19,1,1,19,"But even the theoretical portion of geography is by no means contemptible. On the one hand, it embraces the arts, mathematics, and natural science; on the other, history and fable. Not that this latter can have any distinct advantage: for instance, if any one should relate to us the wanderings of Ulysses, Menelaus, and Jason, he would not seem to have added directly to our fund of practical knowledge thereby, (which is the only thing men of the world are interested in,) unless he should convey useful examples of what those wanderers were compelled to suffer, and at the same time afford matter of rational amusement to those who interest themselves in the places which gave birth to such fables. Practical men interest themselves in these pursuits, since they are at once commendable, and afford them pleasure; but yet not to any great extent. In this class, too, will be found those whose main object in life is pleasure and respectability: but these by no means constitute the majority of mankind, who naturally prefer that which holds out some direct advantage. The geographer should therefore chiefly devote himself to what is practically important. He should follow the same rule in regard to history and the mathematics, selecting always that which is most useful, most intelligible, and most authentic. "
19,e3f2f7d1-1c97-4136-a448-a216d38ce144,urn:cts:greekLit:tlg0099.tlg001:1.1.20,1,1,20,"Geometry and astronomy, as we before remarked, seem absolutely indispensable in this science. This, in fact, is evident, that without some such assistance, it would be impossible to be accurately acquainted with the configuration of the earth; its climata, dimensions, and the like information. As the size of the earth has been demonstrated by other writers, we shall here take for granted and receive as accurate what they have advanced. We shall also assume that the earth is spheroidal, that its surface is likewise spheroidal, and above all, that bodies have a tendency towards its centre, which latter point is clear to the perception of the most average understanding. However we may show summarily that the earth is spheroidal, from the consideration that all things however distant tend to its centre, and that every body is attracted towards its centre of gravity; this is more distinctly proved from observations of the sea and sky, for here the evidence of the senses, and common observation, is alone requisite. The convexity of the sea is a further proof of this to those who have sailed; for they cannot perceive lights at a distance when placed at the same level as their eyes, but if raised on high, they at once become perceptible to vision, though at the same time further removed. So, when the eye is raised, it sees what before was utterly imperceptible. Homer speaks of this when he says, ""Lifted up on the vast wave he quickly beheld afar. [Od. v. 393.] Sailors, as they approach their destination, behold the shore continually raising itself to their view; and objects which had at first seemed low, begin to elevate themselves. Our gnomons, also, are, among other things, evidence of the revolution of the heavenly bodies; and common sense at once shows us, that if the depth of the earth were infinite, such a revolution could not take place. Every information respecting the climata is contained in the ""Treatises on Positions."" "
20,3ddf5627-1c38-4b2a-b1d4-efc97e255434,urn:cts:greekLit:tlg0099.tlg001:1.1.21,1,1,21,"Now there are some facts which we take to be established, viz. those with which every politician and general should be familiar. For on no account should they be so uninformed as to the heavens and the position of the earth, that when they are in strange countries, where some of the heavenly phenomena wear a different aspect to what they have been accustomed, they should be in a consternation, and exclaim, ""Neither west Know we, nor east, where rises or where sets The all-enlightening sun."" [Od. x. 190.] Still, we do not expect that they should be such thorough masters of the subject as to know what stars rise and set together for the different quarters of the earth; those which have the same meridian line, the elevation of the poles, the signs which are in the zenith, with all the various phenomena which differ as well in appearance as reality with the variations of the horizon and arctic circle. With some of these matters, unless as philosophical pursuits, they should not burden themselves at all; others they must take for granted without searching into their causes. This must be left to the care of the philosopher; the statesman can have no leisure, or very little, for such pursuits. Those who, through carelessness and ignorance, are not familiar with the globe and the circles traced upon it, some parallel to each other, some at right angles to the former, others, again, in an oblique direction; nor yet with the position of the tropics, equator, and zodiac, (that circle through which the sun travels in his course, and by which we reckon the changes of season and the winds,) such persons we caution against the perusal of our work. For if a man is neither properly acquainted with these things, nor with the variations of the horizon and arctic circle, and such similar elements of mathematics, how can he comprehend the matters treated of here? So for one who does not know a right line from a curve, nor yet a circle, nor a plane or spherical surface, nor the seven stars in the firmament composing the Great Bear, and such like, our work is entirely useless, at least for the present. Unless he first acquires such information, he is utterly incompetent to the study of geography. So those who have written the works entitled ""On Ports,"" and ""Voyages Round the World,"" have performed their task imperfectly, since they have omitted to supply the requisite information from mathematics and astronomy. "
21,faae0c54-0878-4678-98ee-b26de83737cf,urn:cts:greekLit:tlg0099.tlg001:1.1.22,1,1,22,"The present undertaking is composed in a lucid style, suitable alike to the statesman and the general reader, after the fashion of my History. By a statesman we do not intend an illiterate person, but one who has gone through the course of a liberal and philosophical education. For a man who has bestowed no attention on virtue or intelligence, nor what constitutes them, must be incompetent either to blame or praise, still less to decide what actions are worthy to be placed on record. "
22,0581dabb-019a-4017-a1b3-795bb75a0841,urn:cts:greekLit:tlg0099.tlg001:1.1.23,1,1,23,"Having already compiled our Historical Memoirs, which, as we conceive, are a valuable addition both to political and moral philosophy, we have now determined to follow it up with the present work, which has been prepared on the same system as the former, and for the same class of readers, but more particularly for those who are in high stations of life. And as our former production contains only the most striking events in the lives of distinguished men, omitting trifling and unimportant incidents; so here it will be proper to dismiss small and doubtful particulars, and merely call attention to great and remarkable transactions, such in fact as are useful, memorable, and entertaining. In the colossal works of the sculptor we do not descend into a minute examination of particulars, but look principally for perfection in the general ensemble. This is the only method of criticism applicable to the present work. Its proportions, so to speak, are colossal; it deals in the generalities and main outlines of things, except now and then, when some minor detail can be selected, calculated to be serviceable to the seeker after knowledge, or the man of business. We now think we have demonstrated that our present undertaking is one that requires great care, and is well worthy of a philosopher. "
23,52acb2c8-7644-4f77-9dc0-9de2df4f2a7f,urn:cts:greekLit:tlg0099.tlg001:1.2.1,1,2,1,"No one can [justly] blame us for having undertaken to write on a subject already often treated of, unless it appears that we have done nothing more than copy the works of former writers. In our opinion, though they may have perfectly treated some subjects, in others they have still left much to be completed; and we shall be justified in our performance, if we can add to their information even in a trifling degree. At the present moment the conquests of the Romans and Parthians have added much to our knowledge, which (as was well observed by Eratosthenes) had been considerably increased by the expedition of Alexander. This prince laid open to our view the greater part of Asia, and the whole north of Europe as far as the Danube. And the Romans [have discovered to us] the entire west of Europe as far as the river Elbe, which divides Germania, and the country beyond the Ister to the river Tyras [Dniester]. The country beyond this to the Maeotis, and the coasts extending along Colchis, was brought to light by Mithridates, surnamed Eupator, and his generals. To the Parthians we are indebted for a better acquaintance with Hyrcania, Bactriana, and the land of the Scythians lying beyond, of which before we knew but little. Thus we can add much information not supplied by former writers, but this will best be seen when we come to treat on the writers who have preceded us; and this method we shall pursue, not so much in regard to the primitive geographers, as to Eratosthenes and those subsequent to him. As these writers far surpassed the generality in the amount of their knowledge, so naturally it is more difficult to detect their errors when such occur. If I seem to contradict those most whom I take chiefly for my guides, I must claim indulgence on the plea, that it was never intended to criticise the whole body of geographers, the larger number of whom are not worthy of consideration, but to give an opinion of those only who are generally found correct. Still, while many are beneath discussion, such men as Eratosthenes, Posidonius, Hipparchus, Polybius, and others of their stamp, deserve our highest consideration. "
24,9237495f-48c0-48d6-a1aa-d228f5410630,urn:cts:greekLit:tlg0099.tlg001:1.2.2,1,2,2,"Let us first examine Eratosthenes, reviewing at the same time what Hipparchus has advanced against him. Eratosthenes is much too creditable an historian for us to believe what Polemon endeavours to charge against him, that he had not even seen Athens. At the same time he does not merit that unbounded confidence which some seem to repose in him, although, as he himself tells us, he passed much of his time with first-rate [characters]. Never, says he, at one period, and in one city, were there so many philosophers flourishing together as in my time. In their number was Ariston and Arcesilaus. This, however, it seems is not sufficient, but you must also be able to choose who are the real guides whom it is your interest to follow. He considers Arcesilaus and Ariston to be the coryphaei of the philosophers who flourished in his time, and is ceaseless in his eulogies of Apelles and Bion, the latter of whom, says he, was the first to deck himself in the flowers of philosophy, but concerning whom one is often likewise tempted to exclaim, ""How great is Bion in spite of his rags!"" It is in such instances as the following that the mediocrity of his genius shows itself. Although at Athens he became a disciple of Zeno of Citium, he makes no mention of his followers; while those who opposed that philosopher, and of whose sect not a trace remains, he thinks fit to set down amongst the [great characters] who flourished in his time. His real character appears in his Treatise on Moral Philosophy, his Meditations, and some similar productions. He seems to have held a middle course between the man who devotes himself to philosophy, and the man who cannot make up his mind to dedicate himself to it: and to have studied the science merely as a relief from his other pursuits, or as a pleasing and instructive recreation. In his other writings he is just the same; but let these things pass. We will now proceed as well as we can to the task of rectifying his geography. First, then, let us return to the point which we lately deferred. "
